QIIME_ID	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species	Sub_Species	Confidence	trophic_mode
ea42bf968afa5b4c475ff77c5635421d	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	NA	NA	NA	NA	NA	0.9995531	Phototroph
08856acf809b4c40bccdddb2c6ddf21e	Eukaryota	Obazoa	Opisthokonta	NA	NA	NA	NA	NA	NA	NA	0.9999772	NA
c8179e0720cbe465d3cb78aa2f6bf372	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_sp.		0.7811120	Mixotroph
19ec36490d93f651d6ed2ae51a7a42b7	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Synhymenia	Orthodonellidae	Orthodonellidae_X	Orthodonellidae_X_sp.		0.9636928	Mixotroph
7d62914fb3b5b5b5949c7ed601847e8e	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9797410	Mixotroph
60088f8fb2ce06976e844b1e0f097561	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	NA	1.0000000	Phototroph
1aec8bec87e0336fef6da7105a4b227f	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Komma	Komma_caudata		0.9999369	Heterotroph
5ac78ff07bf4f11e8acff875f2947aa3	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	NA	0.9731645	Phototroph
187c1bebc810a32ab6e8ed19044b81da	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	NA	NA	NA	NA	NA	0.8421567	Mixotroph
db344a039152700d8b0885750ae6c9de	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa	Protaspa_grandis		0.8970110	Mixotroph
5acd9eb86a25ccd6e3efcb8bb52d8ff5	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Bicoecales	Bicoecaceae	Bicoecaceae_X	Bicoecaceae_X_sp.		0.9999660	Mixotroph
4f60eb7ae79f7c40a0e01a3c9fda86ec	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Radiococcus	Radiococcus_polycoccus		0.9958550	Phototroph
20e30d21892db7cb6ca35d9dd9dc7fc0	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	NA	NA	NA	0.7342333	Heterotroph
e64de3b6c1abdd7094a164c1b7cbb374	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	Vorticella	Vorticella_gracilis		0.8019647	Mixotroph
bdbc28f2e4b8ebd90e95ca79a057c96d	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonopsis	Encyonopsis_sp.		0.9447242	Phototroph
8308ffca678a1e6f19d4051d62ac520d	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Cladochytriales	NA	NA	NA	NA	0.9004456	Mixotroph
abfe5813279ca90613cc97e842141875	Eukaryota	TSAR	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.		0.9996730	Mixotroph
cc4fd02a4268467adb7be44a664a675e	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	NA	NA	NA	NA	0.8154604	Mixotroph
2c105ade30a503fa3acd0649688e013f	Eukaryota	TSAR	Alveolata	Ciliophora	NA	NA	NA	NA	NA	NA	0.9996442	Mixotroph
44b41adae68ac9db3fc535edb1f89be4	Eukaryota	TSAR	Rhizaria	Cercozoa	NA	NA	NA	NA	NA	NA	0.9999970	Mixotroph
12986adc0e67af614c87ac792152a2cf	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	NA	0.9968146	Phototroph
fda995a9e96a4ec1c3e91f15447be8eb	Eukaryota	Obazoa	Opisthokonta	Ichthyosporea	Ichthyophonida	Ichthyosphonida_X	Ichthyophonidae_Freshwater	Ichthyophonidae_Freshwater_X	Ichthyophonidae_Freshwater_X_sp.		0.9668888	NA
6d2597b465877a42f9c41b705555f641	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Thoracosphaeraceae	Thoracosphaeraceae_X	Thoracosphaeraceae_X_sp.		0.7737533	Heterotroph
e422219f292c18c67c43aaf56874153c	Eukaryota	TSAR	Alveolata	Ciliophora	Spirotrichea	Choreotrichida-Tintinnina	Tintinnidiidae	Tintinnidium	NA	NA	0.9996273	Mixotroph
f898b81b7384f6d7253c43bf34a5534d	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	NA	0.9887939	Phototroph
8d3f700a976e7cae7a951485bb8f96fc	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chromulinales	Chromulinaceae	Oikomonas	Oikomonas_sp.		0.9962742	Phototroph
b9ee806e25291ee8283d8c3508d8397d	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9923614	NA
1d919da087e3856451e316e1a2aa7bfb	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Craspedida	Monosigidae_Group_O	Monosigidae_Group_O_X	Monosigidae_Group_O_X_sp.		0.9999122	Mixotroph
0acd3d93876107bf9599c8080b3a0023	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Imbricatea	Spongomonadida	Spongomonadidae	NA	NA	NA	0.9999987	Mixotroph
5141cd237bc5328417678e0a5b5c5f30	Eukaryota	TSAR	NA	NA	NA	NA	NA	NA	NA	NA	0.9988968	NA
